id,nome,descricao,tipo_1,tipo_2,habilidade,peso_kg,altura_m,hp,ataque,defesa,ataque_especial,defesa_especial,velocidade,foto_url
116,horsea,Known to shoot down flying bugs with precision blasts of ink from the surface of the water.,water,puro,swift-swim,8.0,0.4,30,40,70,70,25,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/116.png
117,seadra,Capable of swim­ ming backwards by rapidly flapping its wing-like pectoral fins and stout tail.,water,puro,poison-point,25.0,1.2,55,65,95,95,45,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/117.png
118,goldeen,"Its tail fin billows like an elegant ballroom dress, giving it the nickname of the Water Queen.",water,puro,swift-swim,15.0,0.6,45,67,60,35,50,63,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/118.png
119,seaking,"In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks.",water,puro,swift-swim,39.0,1.3,80,92,65,65,80,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/119.png
120,staryu,"If its body is torn, it can grow back if the red core remains. The core flashes at midnight.",water,puro,illuminate,34.5,0.8,30,45,55,70,55,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/120.png
121,starmie,Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.,water,psychic,illuminate,80.0,1.1,60,75,85,100,85,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/121.png
122,mr-mime,"If interrupted while it is miming, it will slap around the offender with its broad hands.",psychic,fairy,soundproof,54.5,1.3,40,45,65,100,120,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/122.png
123,scyther,"With ninja-like agility and speed, it can create the illusion that there is more than one.",bug,flying,swarm,56.0,1.5,70,110,80,55,80,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/123.png
124,jynx,It seductively wiggles its hips as it walks. It can cause people to dance in unison with it.,ice,psychic,oblivious,40.6,1.4,65,50,35,115,95,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/124.png
125,electabuzz,"Normally found near power plants, they can wander away and cause major blackouts in cities.",electric,puro,static,30.0,1.1,65,83,57,95,85,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/125.png
126,magmar,Its body always burns with an orange glow that enables it to hide perfectly among flames.,fire,puro,flame-body,44.5,1.3,65,95,57,100,85,93,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/126.png
127,pinsir,"If it fails to crush the victim in its pincers, it will swing it around and toss it hard.",bug,puro,hyper-cutter,55.0,1.5,65,125,100,55,70,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/127.png
128,tauros,"When it targets an enemy, it charges furiously while whipping its body with its long tails.",normal,puro,intimidate,88.4,1.4,75,100,95,40,70,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/128.png
129,magikarp,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today.",water,puro,swift-swim,10.0,0.9,20,10,55,15,20,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/129.png
130,gyarados,"Once it begins to rampage, a GYARADOS will burn everything down, even in a harsh storm.",water,flying,intimidate,235.0,6.5,95,125,79,60,100,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/130.png
131,lapras,A POKéMON that has been over­ hunted almost to extinction. It can ferry people across the water.,water,ice,water-absorb,220.0,2.5,130,85,80,85,95,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/131.png
132,ditto,Capable of copying an enemy's genetic code to instantly transform itself into a duplicate of the enemy.,normal,puro,limber,4.0,0.3,48,48,48,48,48,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/132.png
133,eevee,Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.,normal,puro,run-away,6.5,0.3,55,55,50,45,65,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/133.png
134,vaporeon,Lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid's.,water,puro,water-absorb,29.0,1.0,130,65,60,110,95,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/134.png
135,jolteon,It accumulates negative ions in the atmosphere to blast out 10000- volt lightning bolts.,electric,puro,volt-absorb,24.5,0.8,65,65,60,110,95,130,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/135.png
136,flareon,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees.",fire,puro,flash-fire,25.0,0.9,65,130,60,95,110,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/136.png
137,porygon,A POKéMON that consists entirely of programming code. Capable of moving freely in cyberspace.,normal,puro,trace,36.5,0.8,65,60,70,85,75,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/137.png
138,omanyte,"Although long extinct, in rare cases, it can be genetically resurrected from fossils.",rock,water,swift-swim,7.5,0.4,35,40,100,90,55,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/138.png
139,omastar,A prehistoric POKéMON that died out when its heavy shell made it impossible to catch prey.,rock,water,swift-swim,35.0,1.0,70,60,125,115,70,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/139.png
140,kabuto,A POKéMON that was resurrected from a fossil found in what was once the ocean floor eons ago.,rock,water,swift-swim,11.5,0.5,30,80,90,55,45,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/140.png
141,kabutops,Its sleek shape is perfect for swim­ ming. It slashes prey with its claws and drains the body fluids.,rock,water,swift-swim,40.5,1.3,60,115,105,65,70,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/141.png
142,aerodactyl,A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.,rock,flying,rock-head,59.0,1.8,80,105,65,60,75,130,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/142.png
143,snorlax,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful.",normal,puro,immunity,460.0,2.1,160,110,65,65,110,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/143.png
144,articuno,A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains.,ice,flying,pressure,55.4,1.7,90,85,100,95,125,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/144.png
145,zapdos,A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts.,electric,flying,pressure,52.6,1.6,90,90,85,125,90,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/145.png
146,moltres,Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.,fire,flying,pressure,60.0,2.0,90,100,90,125,85,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/146.png
147,dratini,Long considered a mythical POKéMON until recently when a small colony was found living underwater.,dragon,puro,shed-skin,3.3,1.8,41,64,45,50,50,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/147.png
148,dragonair,A mystical POKéMON that exudes a gentle aura. Has the ability to change climate conditions.,dragon,puro,shed-skin,16.5,4.0,61,84,65,70,70,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/148.png
149,dragonite,An extremely rarely seen marine POKéMON. Its intelligence is said to match that of humans.,dragon,flying,inner-focus,210.0,2.2,91,134,95,100,100,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/149.png
150,mewtwo,It was created by a scientist after years of horrific gene splicing and DNA engineering experiments.,psychic,puro,pressure,122.0,2.0,106,110,90,154,90,130,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/150.png
151,mew,So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.,psychic,puro,synchronize,4.0,0.4,100,100,100,100,100,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/151.png
